Имя,С единственным автором,В соавторстве,Количество вариантов имён (single),Количество вариантов имён (multiple),Варианты имён (single),Картинки,Варианты имён (multiple)
Гурари Вера Давыдовна,2,0,1,0,Гурари,-,-
Гуркин Григорий Иванович,18,0,1,0,Гуркин Г,-,-
Д.Т. ?Тринин,1,0,1,0,Д.Т,-,-
Давигдов,3,0,1,0,Давигдов,-,-
Давид,1,0,1,0,Давид,-,-
Давыдов Дмитрий Никанорович,1,0,1,0,Давыдов,-,-
Девриен Альфред Федорович,3,0,1,0,Девриен,-,-
Демин П.,1,0,1,0,Демин,-,-
Денисов П.И.,1,0,1,0,Денисов,-,-
Деспот-Зенович Александр Иванович,2,0,1,0,Деспот-Зенович,-,-
Дзюбинский Владимир Иванович,1,0,1,0,Дзюбинский,-,-
Дикгоф В.,1,0,1,0,Дикгоф,-,-
Директор Иркутского промышленного училища,1,0,1,0,Директор Иркутского училища,-,-
Дмитриев Петр,3,0,1,0,Дмитриев,-,-
Долин,0,1,0,1,-,7928:1509,"Новомбергские, Троицкие и др"
Долина (Горленко) Мария Ивановна,3,0,1,0,Долина,-,-
Досекин В.,2,0,1,0,Досекин,-,-
Досекина Зинаида,6,0,1,0,Досекина,-,-
Достоевский Андрей Андреевич,0,1,0,1,-,7928:2838,"Достоевский, Козлов и др"
Достоевский Андрей Андреевич ,0,1,0,1,-,7928:2468,Достоевский и другие
Дэнаяк Хамба-лама,1,0,1,0,Хамба-лама,-,-
Евреинов Анатолий,0,1,0,1,-,7928:2396,Макеров
Еленев Алексей Сергеевич,1,0,1,0,Еленев,-,-
Емельянов Алексей Алексеевич,2,0,1,0,Емельянов,-,-
Ефимов А.И.,4,0,1,0,Ефимов А,-,-
Ефимов Ростислав Иванович,1,0,1,0,Ефимов Р,-,-
Жане В.Н.,5,0,1,0,Жане,-,-
Жанэ-Раппопорт В.,1,0,1,0,Жанэ-Раппопорт,-,-
Железнов Владимир Яковлевич,1,0,1,0,Железнов,-,-
Жемчужников Андрей Аполлонович,1,0,1,0,Жемчужников,-,-
Жерновков Григорий Иванович,1,0,1,0,Жерновков,-,-
Жуков Иннокентий Николаевич,3,0,1,0,Жуков,-,-
Жукова Ал.,1,0,1,0,Жукова,-,-
Жуковский Н.,0,1,0,1,-,7928:2355,Жуковский и Кожевников
Жуковский Р.,0,1,0,1,-,7928:2402,Общество ориенталистов
Завитков А.,1,0,1,0,Завитков,-,-
Заостровская Н.,2,0,1,0,Заостровская,-,-
Западно-Сибирский отдел Императорского Русского географического общества,2,1,1,1,ЗСО РГО,7928:2449,Ширяев
Засс Фердинанд Егорович,1,0,1,0,Засс,-,-
Захариков Ф.,4,0,1,0,Захариков,-,-
Зверев Дмитрий Иванович,4,0,1,0,Зверев,-,-
Зензинов Михаил Михайлович,3,0,1,0,Зензинов,-,-
Зимин В.,1,0,1,0,Зимин,-,-
Златковская Ю.И.,0,1,0,1,-,7928:493,Златковские
Златковский В.К.,4,1,1,1,Златковский,7928:493,Златковские
Знакомые и друзья,1,0,1,0,Знакомые,-,-
Зобнин Филипп Козмич,10,0,1,0,Зобнин,-,-
Зубашев Ефим Лукьянович,1,1,1,1,Зубашев,7928:2408,Зубашев
Зубашев Лев,1,0,1,0,Зубашев,-,-
Зубашева Ольга Александровна,7,0,1,0,Зубашева,-,-
Зуев А.,1,0,1,0,Зуев,-,-
Зуева А.,4,0,1,0,Зуева,-,-
Зунделевич С.,1,0,1,0,Зунделевич,-,-
И др.,0,1,0,1,-,7928:2334,Сссыльные
Ибрагимов Абдурашид Гумерович,3,0,2,0,Ибрагимов,-,-
-,-,-,-,-,Ибрагимов А,-,-
Иваницкий Николай Александрович,2,1,1,1,Иваницкий,7928:2437,Иваницкий
Иванов Н.,1,0,1,0,Иванов Н,-,-
Ивановский Алексей Осипович,48,0,2,0,Ивановский,-,-
-,-,-,-,-,Ивановский Алексей,-,-
Ивановский Арсений,1,0,1,0,Ивановский Арсений,-,-
Иванчин-Писарев Александр Иванович,3,0,1,0,Иванчин-Писарев,-,-
Игнатов Павел Григорьевич,1,0,1,0,Игнатов,-,-
Ида,1,0,1,0,Ида,-,-
Ильинский К.,0,1,0,1,-,7928:2375,Гребенщиков и Ильинский
Императорское Русское географическое общество,2,0,1,0,РГО,-,-
Инкилсинов,0,1,0,1,-,7928:2469,Першин и другие
Иннокентий Ману… / Молчанов?,1,0,1,0,Ману,-,-
Иркутское отделение Союза равноправности женщин,1,0,1,0,Союз женщин,-,-
Иркутяне,1,0,1,0,Иркутяне,-,-
Исполатов Сергей Иванович,2,0,1,0,Исполатов,-,-
Истомин Федор Михайлович,3,0,1,0,Истомин,-,-
Истомина К.,3,0,1,0,Истомина,-,-
Кагоровская А.,1,0,1,0,Кагоровская,-,-
Казанцев,0,1,0,1,-,7928:1458,"Лушников, Казанцев, Попов"
Калачева Елизавета,1,0,1,0,Калачева,-,-
Калинский (Алтайский) Б.,0,1,0,1,-,7928:2386,Редакция календаря
Калмыкова Александра Михайловна,1,0,1,0,Калмыкова,-,-
