Имя,Число изображений,Количество вариантов имён,Варианты имён
Ида,1,1,Ида
Императорское Русское географическое общество,2,1,РГО
Иннокентий Ману… / Молчанов?,1,1,Ману
Иркутское отделение Союза равноправности женщин,1,1,Союз женщин
Иркутяне,1,1,Иркутяне
Исполатов Сергей Иванович,2,1,Исполатов
Истомин Федор Михайлович,3,1,Истомин
Истомина К.,3,1,Истомина
Кагоровская А.,1,1,Кагоровская
Калачева Елизавета,1,1,Калачева
Калмыкова Александра Михайловна,1,1,Калмыкова
Каменская А.,1,1,Каменская
Канцелярия попечителя Кавказского учебного округа,1,1,Канцелярия попечителя
Каплун Артур Абрамович,1,1,Каплун
Каплынь Н.,1,1,Каплынь
Карбышева Е.,5,1,Карбышева
Каров В.,1,1,Каров
Карпинская Е.,1,1,Карпинская
Карпова Наталия Петровна,12,1,Карпова
Катанов Николай Федорович,3,1,Катанов
Катанский С.А.,1,1,Катанский
Квитковская С.,2,1,Квитковская
Квятковская А.Ф.,3,1,Квятковская А
Келер Е.,1,1,Келер
Кетриц Бернард Эрнестович,5,2,"Кетриц, Кетрин"
Киврин Н.,2,1,Киврин
Кириллов Николай Васильевич,1,1,Кириллов
Киселев Иван Гаврилович & Киселева Ольга,1,1,Киселевы
Киселева Ольга,8,1,Киселева О
Клапаре Артур де,1,1,Клапаре
Клеменц Дмитрий Александрович,7,1,Клеменц
Клеменц Дмитрий Александрович & Клеменц Елизавета Николаевна,1,1,Клеменцы
Клеменц Елена Григорьевна,1,1,Клеменц Елена
Клеменц Елизавета Николаевна,1,1,Клеменц Е
Клеменц Елизавета Николаевна & Клеменц Дмитрий Александрович & Ольденбург Сергей Федорович & Березовский Михаил Михайлович & Корбут Евгения & Белозерова Анимаса А. & Макушин Петр Иванович,1,1,"Клеменц, Корбут и др"
Клименская З.,1,1,Клименская
Климентова З.,1,1,Климентова
Клич/Кляв И.,5,2,"Кляв, Клич"
Клишевич Н.П.,1,1,Клишевич
Княгинина Е.,1,1,Княгинина
Кобычев Александр Александрович,4,1,Кобычев
Кобьетев Иван,1,1,Кобьетев
Коваленкова Е.Е.,1,1,Коваленкова
Ковригин С.,1,1,Ковригин
Козлов Иван Савельевич,1,1,Козлов И
Козлова Елизавета Митрофановна,12,2,"Козлова Е, Козлова"
Козьмин Николай Николаевич,21,1,Козьмин
Козьмина (Яковлева) Калерия Александровна,13,1,Козьмина
Коломейцев А.Ф.,2,1,Коломейцев
Коломенкина М.А.,1,1,Коломенкина
Колосова Антонина,1,1,Колосова
Колпинский А.,1,1,Колпинский
Колубовский Яков Николаевич,1,1,Колубовский
Кольберг-Дюзоте А.,1,1,Кольберг
Комарова Н.П.,1,1,Комарова
Комиссия для пособия нуждающимся ученым,1,1,Комиссия пособия
Комиссия по организации Первого общесибирского съезда учителей и деятелей по народному образованию в Томске,1,1,Съезд учителей
Комиссия по организации научно-популярных лекций при Обществе попечения о начальном образовании,1,1,Комиссия лекций
Комитет общества пособия учащимся сибирякам,1,1,Общество пособия сибирякам
Конев О. & Мокрецов В. & Сушилов Г.Г. & Соболев Афанасий Гаврилович & И др.,1,1,Сссыльные
Конкин В.А.,2,1,Конкин
Коновалов П.К.,1,1,Коновалов
Коншин Николай Яковлевич,3,1,Коншин
Конько Д.,1,1,Конько
Корб Макс,1,1,Корб
Корбут Евгения,1,1,Корбут Е
Корбут-Григорьева А.,1,1,Корбут-Григорьева
Коренев Федор Хрисанфович,1,1,Коренев
Коржинский Сергей Иванович,8,1,Коржинский
Корнилов Александр Александрович,1,1,Корнилов
Корнилов Александр Александрович & Корнилова Наталья Антиповна,1,1,Корниловы
Корнилов Иннокентий Григорьевич,2,1,Корнилов
Корнилова Наталья Антиповна,3,1,Корнилова
Коровин В.,1,1,Коровин
Королевец П.,1,1,Королевец
Коротков А.,1,1,Коротков
Корш Иван,1,1,Корш
Космаков И.,1,1,Космаков
Костко З.К.,1,1,Костко
Костромина В.С.,1,1,Костромина
Костюрин Виктор Федорович,8,1,Костюрин
Костюрина Мария Николаевна,13,1,Костюрина
Красин Герман Борисович,2,1,Красин
Красноженова Мария Васильевна,16,1,Красноженова
Красноярский подотдел Восточно-Сибирского отдела Императорского Русского географического общества & Ошурков Василий Александрович,1,1,Ошурков
Красноярский подотдел Императорского Русского географического общества,1,1,Красноярский подотдел РГО
Кричевцова У.С.,2,1,Кричевцова
Кроль Моисей Аронович,6,1,Кроль
Круковский Михаил Антонович,10,1,Круковский
Крутова Е.,1,1,Крутова
Крутовская Лидия Симоновна,29,1,Крутовская
Крутовский Владимир Михайлович,46,1,Крутовский
Крутовский Владимир Михайлович & Крутовская Лидия Симоновна,3,1,Крутовские
Крутовский М.,1,1,Крутовский М
Куб М.,1,1,Куб
Кузнецов,1,1,Кузнецов
Кузнецов Алексей Кириллович,1,1,Кузнецов А
Кузнецов Иннокентий Петрович,4,1,Кузнецов И
Кузнецова А.,5,1,Кузнецова А
Кузнецова Д.,1,1,Кузнецова
Кулишер М.,1,1,Кулишер
Кунанбаев Нуеман Азимбаевич,3,1,Кунанбаев
Курский Михаил Онисифорович,8,1,Курский
Кусков Петр Иванович,1,1,Кусков
Кускова А.,2,1,Кускова А
Кускова Виктория,1,1,Кускова В
Кутузова Е.,1,1,Кутузова
Кучковская Е.,1,1,Кучковская
Кюрганова,1,1,Кюрганова
Кёлькенбек А.М.,1,1,Кёлькенбек
Лабаринская М.,1,1,Лабаринская
Лаби Поль,1,1,Лаби
Лавров Иван Александрович,2,2,"Лавров, Лавров И"
Лаврова А.,1,1,Лаврова
Лаврова М.,2,2,"Лаврова М, Лаврова"
Лаврская Антонина Викторовна,4,1,Лаврская А
Лаврская Антонина Викторовна & Лаврский Валериан Викторович,1,1,Лаврские А и В
Лаврская Екатерина Васильевна,6,1,Лаврская Е
Лаврский Аркадий Валерианович,6,1,Лаврский А
Лаврский Валериан Викторович,17,1,Лаврский В
Лаврский Константин Викторович,15,1,Лаврский К
Лаврский Константин Викторович & Свентицкая Мария Хрисанфовна & Тейтель Е.,1,1,"Лаврский, Свентицкая, Тейтель"
"Лаврский Лев Викторович, священник",1,1,Лаврский Л
Ладыгин Вениамин Федорович,2,1,Ладыгин
Лазари Де Александр Николаевич,3,1,Лазари
Лаптев Иннокентий Павлович,3,1,Лаптев
Лаптев Иннокентий Павлович & Коншин Николай Яковлевич & Скалозубов Николай Лукич & Раскольников & Алексеев Петр Семенович & Байдаков & Нороконев & Кащегулов,2,2,"Лаптев, Коншин и др, Лаптев, Коншин"
Ларуш А.,2,1,Ларуш
Левентон Анатолий Львович,2,1,Левентон
Левин,1,1,Левин
Лемке Михаил Константинович,1,1,Лемке
Леонович (Ангарский) Василий Викторович,15,3,"Леонтович В, Леонович, Леонович В"
Леонович М.,1,1,Леонович М
Леонтович Владимир & Леонтович Юлия Владимировна,1,1,Леонтовичи
Леонтович Юлия Владимировна,2,1,Леонтович Ю
Леонтьев,1,1,Леонтьев
Лесевич Владимир Викторович,8,1,Лесевич В
Лесевич Лидия Парменовна,4,1,Лесевич Л
Лисев Александр Иванович,1,1,Лисев
Литературный фонд,1,1,Литературный фонд
Литературный фонд & Анненский Николай Федорович,3,1,Литературный фонд
Литературный фонд & Пешехонов А.,1,1,Литературный фонд
